C,36,27,36,290
C,36,26,36,5
DD,36,25,36,0
B,34,24,33,3
B,34,26,33,71
DD,35,25,35,1
DD,36,26,38,83
C,34,25,35,1
B,35,24,35,69
B,32,23,32,2
B,36,24,36,0
D,35,24,34,0
B,36,26,38,2
B,33,22,33,27
B,35,22,33,0
B,30,24,32,166
B,36,24,36,18
C,36,26,36,1
C,36,25,36,54
C,34,23,35,4
C,34,24,36,0
C,37,26,36,154
C,37,24,36,5
C,34,24,34,0
A,32,23,33,4
B,32,23,34,1
D,34,25,36,0
A,34,24,35,1
B,35,25,34,1
C,34,25,35,28
B,33,24,33,7
B,34,25,35,29
C,36,24,36,12
B,34,23,33,5
